source,target,relation,relation_zh,evidence,source_doc,source_url,count,weight,color
raw_cause:不运行停梯平层感应器坏己申领,category:leveling_position,CATEGORIZED_AS,归类为,不运行停梯平层感应器坏己申领,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:不运行已修复,category:unknown,CATEGORIZED_AS,归类为,不运行已修复,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:不运行，光幕坏，停梯,category:door_system_fault,CATEGORIZED_AS,归类为,不运行，光幕坏，停梯,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:两台电梯恢复正常，一台光幕太脏，以处理，另一台一楼厅门锁钩擦罩壳，门关不上,category:door_system_fault,CATEGORIZED_AS,归类为,两台电梯恢复正常，一台光幕太脏，以处理，另一台一楼厅门锁钩擦罩壳，门关不上,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:两台电梯按钮线路不良已好,category:unknown,CATEGORIZED_AS,归类为,两台电梯按钮线路不良已好,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:主动门与从动门之间的联动失效,category:unknown,CATEGORIZED_AS,归类为,主动门与从动门之间的联动失效,local:xlsx,,1,1,#dc2626
raw_cause:主电源开关失效,category:power_supply,CATEGORIZED_AS,归类为,主电源开关失效,local:xlsx,,1,1,#dc2626
raw_cause:主电源断开,category:power_supply,CATEGORIZED_AS,归类为,主电源断开,local:xlsx,,9,1,#dc2626
raw_cause:二楼门锁虚接，轿门锁片磨损，产品质量太差，需要领料更换，调整门锁，增大压量，目前电梯正常运行，语音报站正常的,category:door_system_fault,CATEGORIZED_AS,归类为,二楼门锁虚接，轿门锁片磨损，产品质量太差，需要领料更换，调整门锁，增大压量，目前电梯正常运行，语音报站正常的,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:人为损坏 暂时不修 看物业怎么处理 ， 门都合不上,category:unknown,CATEGORIZED_AS,归类为,人为损坏 暂时不修 看物业怎么处理 ， 门都合不上,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:人为损坏，电梯门扇被撞,category:unknown,CATEGORIZED_AS,归类为,人为损坏，电梯门扇被撞,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:今天PDA手机看不了故障，更换轿门触点,category:door_system_fault,CATEGORIZED_AS,归类为,今天PDA手机看不了故障，更换轿门触点,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:传动皮带过松,category:unknown,CATEGORIZED_AS,归类为,传动皮带过松,local:xlsx,,1,1,#dc2626
raw_cause:估计挡门搬货,category:human_obstruction,CATEGORIZED_AS,归类为,估计挡门搬货,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
