id,label,name,name_en,kind,kind_zh,description,source,source_url,count,weight,trapped_people,rescue_minutes,color,size
elevator:31103202042009040332,elevator:31103202042009040332,电梯 31103202042009040332,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103202042009040333,elevator:31103202042009040333,电梯 31103202042009040333,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103202042010010049,elevator:31103202042010010049,电梯 31103202042010010049,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103202042015020001,elevator:31103202042015020001,电梯 31103202042015020001,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103202042016010017,elevator:31103202042016010017,电梯 31103202042016010017,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103202052012040002,elevator:31103202052012040002,电梯 31103202052012040002,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103202052017120002,elevator:31103202052017120002,电梯 31103202052017120002,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103202052020040009,elevator:31103202052020040009,电梯 31103202052020040009,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103202062018030034,elevator:31103202062018030034,电梯 31103202062018030034,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103202062018110021,elevator:31103202062018110021,电梯 31103202062018110021,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103202062019030002,elevator:31103202062019030002,电梯 31103202062019030002,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103202112008120106,elevator:31103202112008120106,电梯 31103202112008120106,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103202112009080010,elevator:31103202112009080010,电梯 31103202112009080010,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103202112010050123,elevator:31103202112010050123,电梯 31103202112010050123,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103202112013030023,elevator:31103202112013030023,电梯 31103202112013030023,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103202132017020059,elevator:31103202132017020059,电梯 31103202132017020059,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103202132017110005,elevator:31103202132017110005,电梯 31103202132017110005,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103202132021020052,elevator:31103202132021020052,电梯 31103202132021020052,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103202812014030111,elevator:31103202812014030111,电梯 31103202812014030111,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103202922012110098,elevator:31103202922012110098,电梯 31103202922012110098,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103202922012120030,elevator:31103202922012120030,电梯 31103202922012120030,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103202922013060017,elevator:31103202922013060017,电梯 31103202922013060017,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103202922013070002,elevator:31103202922013070002,电梯 31103202922013070002,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103202922013070175,elevator:31103202922013070175,电梯 31103202922013070175,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103202922014010043,elevator:31103202922014010043,电梯 31103202922014010043,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103202922014010067,elevator:31103202922014010067,电梯 31103202922014010067,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103202922014010072,elevator:31103202922014010072,电梯 31103202922014010072,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103202922014080056,elevator:31103202922014080056,电梯 31103202922014080056,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103202922015070038,elevator:31103202922015070038,电梯 31103202922015070038,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103203002020122110,elevator:31103203002020122110,电梯 31103203002020122110,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103203022012010011,elevator:31103203022012010011,电梯 31103203022012010011,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103203022016010360,elevator:31103203022016010360,电梯 31103203022016010360,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103203032011121160,elevator:31103203032011121160,电梯 31103203032011121160,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103203032014060873,elevator:31103203032014060873,电梯 31103203032014060873,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103203032017100100,elevator:31103203032017100100,电梯 31103203032017100100,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103203062015111594,elevator:31103203062015111594,电梯 31103203062015111594,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103203062019030028,elevator:31103203062019030028,电梯 31103203062019030028,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103203062019070002,elevator:31103203062019070002,电梯 31103203062019070002,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103203112006022018,elevator:31103203112006022018,电梯 31103203112006022018,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103203112007120537,elevator:31103203112007120537,电梯 31103203112007120537,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103203112010090719,elevator:31103203112010090719,电梯 31103203112010090719,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103203112011010020,elevator:31103203112011010020,电梯 31103203112011010020,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103203112014111525,elevator:31103203112014111525,电梯 31103203112014111525,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103203112014111536,elevator:31103203112014111536,电梯 31103203112014111536,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103203112015040408,elevator:31103203112015040408,电梯 31103203112015040408,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103203112016081467,elevator:31103203112016081467,电梯 31103203112016081467,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103203212019020004,elevator:31103203212019020004,电梯 31103203212019020004,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103203222018010119,elevator:31103203222018010119,电梯 31103203222018010119,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103203232017060011,elevator:31103203232017060011,电梯 31103203232017060011,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103203242017060044,elevator:31103203242017060044,电梯 31103203242017060044,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:311032038120200400008,elevator:311032038120200400008,电梯 311032038120200400008,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
